filename,monument_name,datetime,caption,include,exclude_reason,section,orientation,cover_candidate,docushare_url
"Acton-Concord Spencer Brook Road, 2025-06-30 13-56.jpg",Acton/Concord Spencer Brook Road,2025-06-30 13-56,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99064/Acton-Concord Spencer Brook Road%2c 2025-06-30 13-56.jpg
"Acton-Concord Strawberry Hill Road, 2025-04-18 08-30.jpg",Acton/Concord Strawberry Hill Road,2025-04-18 08-30,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99065/Acton-Concord Strawberry Hill Road%2c 2025-04-18 08-30.jpg
"Acton-Concord Strawberry Hill Road, 2025-06-30 16-02.jpg",Acton/Concord Strawberry Hill Road,2025-06-30 16-02,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99066/Acton-Concord Strawberry Hill Road%2c 2025-06-30 16-02.jpg
"Acton-Concord Strawberry Hill Road, 2025-06-30 16-07, 2.jpg",Acton/Concord Strawberry Hill Road,2025-06-30 16-07,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99067/Acton-Concord Strawberry Hill Road%2c 2025-06-30 16-07%2c 2.jpg
"Acton-Concord Strawberry Hill Road, 2025-06-30 16-07.jpg",Acton/Concord Strawberry Hill Road,2025-06-30 16-07,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99068/Acton-Concord Strawberry Hill Road%2c 2025-06-30 16-07.jpg
"Acton-Concord-Maynard-Sudbury, 2024-10-14 15-49.jpg",Acton/Concord/Maynard/Sudbury,2024-10-14 15-49,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99069/Acton-Concord-Maynard-Sudbury%2c 2024-10-14 15-49.jpg
"Acton-Concord-Maynard-Sudbury, 2024-10-14 15-50, 2.jpg",Acton/Concord/Maynard/Sudbury,2024-10-14 15-50,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99070/Acton-Concord-Maynard-Sudbury%2c 2024-10-14 15-50%2c 2.jpg
"Acton-Concord-Maynard-Sudbury, 2024-10-14 15-50, 3.jpg",Acton/Concord/Maynard/Sudbury,2024-10-14 15-50,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99071/Acton-Concord-Maynard-Sudbury%2c 2024-10-14 15-50%2c 3.jpg
"Acton-Concord-Maynard-Sudbury, 2024-10-14 15-50.jpg",Acton/Concord/Maynard/Sudbury,2024-10-14 15-50,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99072/Acton-Concord-Maynard-Sudbury%2c 2024-10-14 15-50.jpg
"Acton-Concord-Maynard-Sudbury, 2025-07-24 09-14.jpg",Acton/Concord/Maynard/Sudbury,2025-07-24 09-14,,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-99073/Acton-Concord-Maynard-Sudbury%2c 2025-07-24 09-14.jpg
"Acton-Concord-Maynard-Sudbury, 2025-07-24 09-15, Painting equipment.jpg",Acton/Concord/Maynard/Sudbury,2025-07-24 09-15,Painting equipment,yes,,intro,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-99074/Acton-Concord-Maynard-Sudbury%2c 2025-07-24 09-15%2c Painting equipment.jpg
"Acton-Concord-Maynard-Sudbury, 2025-07-24 09-16, Rust-oleum details.jpg",Acton/Concord/Maynard/Sudbury,2025-07-24 09-16,Rust-oleum details,yes,,intro,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99075/Acton-Concord-Maynard-Sudbury%2c 2025-07-24 09-16%2c Rust-oleum details.jpg
"Acton-Concord-Maynard-Sudbury, 2025-07-24 09-21.jpg",Acton/Concord/Maynard/Sudbury,2025-07-24 09-21,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99076/Acton-Concord-Maynard-Sudbury%2c 2025-07-24 09-21.jpg
"Acton-Littleton 1, 2025-03-25 10-37, 2.jpg",Acton/Littleton 1,2025-03-25 10-37,,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-99077/Acton-Littleton 1%2c 2025-03-25 10-37%2c 2.jpg
"Acton-Littleton 1, 2025-03-25 10-37.jpg",Acton/Littleton 1,2025-03-25 10-37,,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-99078/Acton-Littleton 1%2c 2025-03-25 10-37.jpg
"Acton-Littleton 1, 2025-03-25 10-38, Context with stone wall.jpg",Acton/Littleton 1,2025-03-25 10-38,Context with stone wall,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99079/Acton-Littleton 1%2c 2025-03-25 10-38%2c Context with stone wall.jpg
"Acton-Littleton 1, 2025-06-02 14-06.jpg",Acton/Littleton 1,2025-06-02 14-06,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99080/Acton-Littleton 1%2c 2025-06-02 14-06.jpg
"Acton-Littleton 2, 2025-04-24 15-22.JPG",Acton/Littleton 2,2025-04-24 15-22,,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-99081/Acton-Littleton 2%2c 2025-04-24 15-22.JPG
"Acton-Littleton 2, 2025-05-19 16-44, Nagog Pond is in the back.jpg",Acton/Littleton 2,2025-05-19 16-44,Nagog Pond is in the back,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-99082/Acton-Littleton 2%2c 2025-05-19 16-44%2c Nagog Pond is in the back.jpg
"Acton-Littleton 2, 2025-05-19 16-44.jpg",Acton/Littleton 2,2025-05-19 16-44,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99083/Acton-Littleton 2%2c 2025-05-19 16-44.jpg
"Acton-Littleton 2, 2025-06-02 14-36, Tilted for a long time: all the years are tilted to compensate.jpg",Acton/Littleton 2,2025-06-02 14-36,Tilted for a long time: all the years are tilted to compensate,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99084/ all the years are tilted to compensate.jpg
"Acton-Littleton 2, 2025-06-02 14-39, After painting..jpg",Acton/Littleton 2,2025-06-02 14-39,After painting.,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99085/Acton-Littleton 2%2c 2025-06-02 14-39%2c After painting..jpg
"Acton-Littleton 2, 2025-06-02 14-39, Year of installation 1831..jpg",Acton/Littleton 2,2025-06-02 14-39,Year of installation 1831.,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99086/Acton-Littleton 2%2c 2025-06-02 14-39%2c Year of installation 1831..jpg
"Acton-Littleton 2, 2025-06-02 14-41.jpg",Acton/Littleton 2,2025-06-02 14-41,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99087/Acton-Littleton 2%2c 2025-06-02 14-41.jpg
"Acton-Littleton Fort Pond Road, 2025-03-25 10-18, 2.jpg",Acton/Littleton Fort Pond Road,2025-03-25 10-18,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99088/Acton-Littleton Fort Pond Road%2c 2025-03-25 10-18%2c 2.jpg
"Acton-Littleton Fort Pond Road, 2025-03-25 10-18.jpg",Acton/Littleton Fort Pond Road,2025-03-25 10-18,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99089/Acton-Littleton Fort Pond Road%2c 2025-03-25 10-18.jpg
"Acton-Littleton Fort Pond Road, 2025-03-25 10-19.jpg",Acton/Littleton Fort Pond Road,2025-03-25 10-19,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99090/Acton-Littleton Fort Pond Road%2c 2025-03-25 10-19.jpg
"Acton-Littleton Fort Pond Road, 2025-06-02 13-26, 2.jpg",Acton/Littleton Fort Pond Road,2025-06-02 13-26,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99091/Acton-Littleton Fort Pond Road%2c 2025-06-02 13-26%2c 2.jpg
"Acton-Littleton Fort Pond Road, 2025-06-02 13-26.jpg",Acton/Littleton Fort Pond Road,2025-06-02 13-26,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99092/Acton-Littleton Fort Pond Road%2c 2025-06-02 13-26.jpg
"Acton-Littleton Fort Pond Road, 2025-06-02 13-33, Acton side after painting.jpg",Acton/Littleton Fort Pond Road,2025-06-02 13-33,Acton side after painting,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99093/Acton-Littleton Fort Pond Road%2c 2025-06-02 13-33%2c Acton side after painting.jpg
"Acton-Littleton Fort Pond Road, 2025-06-02 13-33, Littleton side after painting.jpg",Acton/Littleton Fort Pond Road,2025-06-02 13-33,Littleton side after painting,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99094/Acton-Littleton Fort Pond Road%2c 2025-06-02 13-33%2c Littleton side after painting.jpg
"Acton-Littleton Great Road, 2026-07-14 10-55.jpg",Acton/Littleton Great Road,2026-07-14 10-55,,yes,,monument,,,https://doc.actonma.gov/dsweb/Get/Document-99293/Acton-Littleton Great Road%2c 2026-07-14 10-55.jpg
"Acton-Littleton Lillian Road, 2025-03-25 10-04, possible  marker location.jpg",Acton/Littleton Lillian Road,2025-03-25 10-04,possible  marker location,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99095/Acton-Littleton Lillian Road%2c 2025-03-25 10-04%2c possible  marker location.jpg
"Acton-Littleton Nagog Hill Road, 2025-03-25 10-24.jpg",Acton/Littleton Nagog Hill Road,2025-03-25 10-24,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99096/Acton-Littleton Nagog Hill Road%2c 2025-03-25 10-24.jpg
"Acton-Littleton Nagog Hill Road, 2025-03-25 10-26.jpg",Acton/Littleton Nagog Hill Road,2025-03-25 10-26,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99097/Acton-Littleton Nagog Hill Road%2c 2025-03-25 10-26.jpg
"Acton-Littleton Nagog Hill Road, 2025-03-25 10-27, Context with town line sign.jpg",Acton/Littleton Nagog Hill Road,2025-03-25 10-27,Context with town line sign,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99098/Acton-Littleton Nagog Hill Road%2c 2025-03-25 10-27%2c Context with town line sign.jpg
"Acton-Littleton Nagog Hill Road, 2025-06-02 13-09, Includes engraved 1831 monument date.jpg",Acton/Littleton Nagog Hill Road,2025-06-02 13-09,Includes engraved 1831 monument date,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99099/Acton-Littleton Nagog Hill Road%2c 2025-06-02 13-09%2c Includes engraved 1831 monument date.jpg
"Acton-Littleton Nagog Hill Road, 2025-06-02 13-10.jpg",Acton/Littleton Nagog Hill Road,2025-06-02 13-10,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99100/Acton-Littleton Nagog Hill Road%2c 2025-06-02 13-10.jpg
"Acton-Littleton Nagog Hill Road, 2025-06-02 13-14, Acton side being painted.jpg",Acton/Littleton Nagog Hill Road,2025-06-02 13-14,Acton side being painted,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99101/Acton-Littleton Nagog Hill Road%2c 2025-06-02 13-14%2c Acton side being painted.jpg
"Acton-Littleton Nagog Hill Road, 2025-06-02 13-16, Observers  and painters.jpg",Acton/Littleton Nagog Hill Road,2025-06-02 13-16,Observers  and painters,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-99102/Acton-Littleton Nagog Hill Road%2c 2025-06-02 13-16%2c Observers  and painters.jpg
"Acton-Littleton Nagog Hill Road, 2025-06-02 13-22, Acton side after painting.jpg",Acton/Littleton Nagog Hill Road,2025-06-02 13-22,Acton side after painting,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99103/Acton-Littleton Nagog Hill Road%2c 2025-06-02 13-22%2c Acton side after painting.jpg
"Acton-Littleton Nagog Hill Road, 2025-06-02 13-22, Littleton side after painting.jpg",Acton/Littleton Nagog Hill Road,2025-06-02 13-22,Littleton side after painting,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99104/Acton-Littleton Nagog Hill Road%2c 2025-06-02 13-22%2c Littleton side after painting.jpg
"Acton-Littleton Nashoba Road, 2026-07-14 10-54.jpg",Acton/Littleton Nashoba Road,2026-07-14 10-54,,yes,,monument,,,https://doc.actonma.gov/dsweb/Get/Document-99294/Acton-Littleton Nashoba Road%2c 2026-07-14 10-54.jpg
"Acton-Littleton Newtown Road, 2024-10-26 17-12.jpg",Acton/Littleton Newtown Road,2024-10-26 17-12,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99105/Acton-Littleton Newtown Road%2c 2024-10-26 17-12.jpg
"Acton-Littleton Newtown Road, 2024-10-26 17-13.jpg",Acton/Littleton Newtown Road,2024-10-26 17-13,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99106/Acton-Littleton Newtown Road%2c 2024-10-26 17-13.jpg
"Acton-Littleton Newtown Road, 2025-03-25 09-59, Littleton side.jpg",Acton/Littleton Newtown Road,2025-03-25 09-59,Littleton side,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99107/Acton-Littleton Newtown Road%2c 2025-03-25 09-59%2c Littleton side.jpg
"Acton-Littleton Newtown Road, 2025-03-25 09-59.jpg",Acton/Littleton Newtown Road,2025-03-25 09-59,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99108/Acton-Littleton Newtown Road%2c 2025-03-25 09-59.jpg
"Acton-Littleton Newtown Road, 2025-06-02 13-42, Context: nearby road marker..jpg",Acton/Littleton Newtown Road,2025-06-02 13-42,Context: nearby road marker.,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-99109/ nearby road marker..jpg
"Acton-Littleton Newtown Road, 2025-06-02 13-42.jpg",Acton/Littleton Newtown Road,2025-06-02 13-42,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99110/Acton-Littleton Newtown Road%2c 2025-06-02 13-42.jpg
"Acton-Littleton W B Marker on Fort Pond Road, 2025-03-25 10-20.jpg",Acton/Littleton W B Marker on Fort Pond Road,2025-03-25 10-20,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99111/Acton-Littleton W B Marker on Fort Pond Road%2c 2025-03-25 10-20.jpg
"Acton-Littleton W B Marker on Fort Pond Road, 2026-03-14 10-02.png",Acton/Littleton W B Marker on Fort Pond Road,2026-03-14 10-02,,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-99112/Acton-Littleton W B Marker on Fort Pond Road%2c 2026-03-14 10-02.png
"Acton-Littleton-Westford, 2025-03-25 11-02, From Acton wetlands.jpg",Acton/Littleton/Westford,2025-03-25 11-02,From Acton wetlands,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99113/Acton-Littleton-Westford%2c 2025-03-25 11-02%2c From Acton wetlands.jpg
"Acton-Littleton-Westford, 2025-03-25 11-02, Zoom from Acton wetlands.jpg",Acton/Littleton/Westford,2025-03-25 11-02,Zoom from Acton wetlands,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99114/Acton-Littleton-Westford%2c 2025-03-25 11-02%2c Zoom from Acton wetlands.jpg
"Acton-Littleton-Westford, 2025-09-24 10-08, 2.jpg",Acton/Littleton/Westford,2025-09-24 10-08,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99115/Acton-Littleton-Westford%2c 2025-09-24 10-08%2c 2.jpg
"Acton-Littleton-Westford, 2025-09-24 10-08.jpg",Acton/Littleton/Westford,2025-09-24 10-08,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99116/Acton-Littleton-Westford%2c 2025-09-24 10-08.jpg
"Acton-Littleton-Westford, 2025-09-24 10-09.jpg",Acton/Littleton/Westford,2025-09-24 10-09,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99117/Acton-Littleton-Westford%2c 2025-09-24 10-09.jpg
"Acton-Littleton-Westford, 2025-09-24 10-10.jpg",Acton/Littleton/Westford,2025-09-24 10-10,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99118/Acton-Littleton-Westford%2c 2025-09-24 10-10.jpg
"Acton-Littleton-Westford, 2025-09-24 10-11.jpg",Acton/Littleton/Westford,2025-09-24 10-11,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99119/Acton-Littleton-Westford%2c 2025-09-24 10-11.jpg
"Acton-Littleton-Westford, 2025-09-24 10-13.jpg",Acton/Littleton/Westford,2025-09-24 10-13,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99120/Acton-Littleton-Westford%2c 2025-09-24 10-13.jpg
"Acton-Maynard Conant Street, 2025-07-24 10-05.jpg",Acton/Maynard Conant Street,2025-07-24 10-05,,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-99121/Acton-Maynard Conant Street%2c 2025-07-24 10-05.jpg
"Acton-Maynard Main Street (Rte 27), 2024-10-18 10-48.jpg",Acton/Maynard Main Street (Rte 27),2024-10-18 10-48,,no,redundant,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99122/Acton-Maynard Main Street (Rte 27)%2c 2024-10-18 10-48.jpg
"Acton-Maynard Main Street (Rte 27), 2024-10-18 10-50, Monument peeking out of vegetation.jpg",Acton/Maynard Main Street (Rte 27),2024-10-18 10-50,Monument peeking out of vegetation,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-99123/Acton-Maynard Main Street (Rte 27)%2c 2024-10-18 10-50%2c Monument peeking out of vegetation.jpg
"Acton-Maynard Main Street (Rte 27), 2025-07-24 09-47.jpg",Acton/Maynard Main Street (Rte 27),2025-07-24 09-47,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99124/Acton-Maynard Main Street (Rte 27)%2c 2025-07-24 09-47.jpg
"Acton-Maynard Parker Street, 2025-04-23 15-06, Context with pole that is probably a boundary sign post missing the sign..jpg",Acton/Maynard Parker Street,2025-04-23 15-06,Context with pole that is probably a boundary sign post missing the sign.,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99125/Acton-Maynard Parker Street%2c 2025-04-23 15-06%2c Context with pole that is probably a boundary sign post missing the sign..jpg
"Acton-Maynard Parker Street, 2025-04-23 15-06, Partially buried on Maynard side..jpg",Acton/Maynard Parker Street,2025-04-23 15-06,Partially buried on Maynard side.,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99126/Acton-Maynard Parker Street%2c 2025-04-23 15-06%2c Partially buried on Maynard side..jpg
"Acton-Maynard Parker Street, 2025-04-23 15-07, Partially buried on Acton side..jpg",Acton/Maynard Parker Street,2025-04-23 15-07,Partially buried on Acton side.,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99127/Acton-Maynard Parker Street%2c 2025-04-23 15-07%2c Partially buried on Acton side..jpg
"Acton-Maynard Parker Street, 2025-07-24 09-31.jpg",Acton/Maynard Parker Street,2025-07-24 09-31,,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-99128/Acton-Maynard Parker Street%2c 2025-07-24 09-31.jpg
"Acton-Maynard Parker Street, 2025-07-24 09-32, 2.jpg",Acton/Maynard Parker Street,2025-07-24 09-32,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99129/Acton-Maynard Parker Street%2c 2025-07-24 09-32%2c 2.jpg
"Acton-Maynard Parker Street, 2025-07-24 09-32.jpg",Acton/Maynard Parker Street,2025-07-24 09-32,,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-99130/Acton-Maynard Parker Street%2c 2025-07-24 09-32.jpg
"Acton-Maynard Powder Mill Road (Rte 62), 2025-04-23 15-15, Possible location but no monument..jpg",Acton/Maynard Powder Mill Road (Rte 62),2025-04-23 15-15,Possible location but no monument.,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-99131/Acton-Maynard Powder Mill Road (Rte 62)%2c 2025-04-23 15-15%2c Possible location but no monument..jpg
"Acton-Maynard Powder Mill Road (Rte 62), 2025-04-23 15-19, Possible location but no monument.jpg",Acton/Maynard Powder Mill Road (Rte 62),2025-04-23 15-19,Possible location but no monument,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99132/Acton-Maynard Powder Mill Road (Rte 62)%2c 2025-04-23 15-19%2c Possible location but no monument.jpg
"Acton-Maynard-Stow, 2025-07-24 10-23, 2.jpg",Acton/Maynard/Stow,2025-07-24 10-23,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99133/Acton-Maynard-Stow%2c 2025-07-24 10-23%2c 2.jpg
"Acton-Maynard-Stow, 2025-07-24 10-23, 3.jpg",Acton/Maynard/Stow,2025-07-24 10-23,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99134/Acton-Maynard-Stow%2c 2025-07-24 10-23%2c 3.jpg
"Acton-Maynard-Stow, 2025-07-24 10-23.jpg",Acton/Maynard/Stow,2025-07-24 10-23,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99135/Acton-Maynard-Stow%2c 2025-07-24 10-23.jpg
"Acton-Maynard-Stow, 2025-07-24 10-24.jpg",Acton/Maynard/Stow,2025-07-24 10-24,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99136/Acton-Maynard-Stow%2c 2025-07-24 10-24.jpg
"Acton-Maynard-Stow, 2025-07-24 10-32, Painted.jpg",Acton/Maynard/Stow,2025-07-24 10-32,Painted,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99137/Acton-Maynard-Stow%2c 2025-07-24 10-32%2c Painted.jpg
"Acton-Stow Liberty Street, 2025-07-24 10-51, 2.jpg",Acton/Stow Liberty Street,2025-07-24 10-51,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99138/Acton-Stow Liberty Street%2c 2025-07-24 10-51%2c 2.jpg
"Acton-Stow Liberty Street, 2025-07-24 10-51.jpg",Acton/Stow Liberty Street,2025-07-24 10-51,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99139/Acton-Stow Liberty Street%2c 2025-07-24 10-51.jpg
"Acton-Stow Stow Street, 2025-07-24 11-00, 2.jpg",Acton/Stow Stow Street,2025-07-24 11-00,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99140/Acton-Stow Stow Street%2c 2025-07-24 11-00%2c 2.jpg
"Acton-Stow Stow Street, 2025-07-24 11-00.jpg",Acton/Stow Stow Street,2025-07-24 11-00,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99141/Acton-Stow Stow Street%2c 2025-07-24 11-00.jpg
"Acton-Stow Stow Street, 2025-07-24 11-06.jpg",Acton/Stow Stow Street,2025-07-24 11-06,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99142/Acton-Stow Stow Street%2c 2025-07-24 11-06.jpg
"Acton-Stow Stow Street, 2025-07-24 11-07.jpg",Acton/Stow Stow Street,2025-07-24 11-07,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99143/Acton-Stow Stow Street%2c 2025-07-24 11-07.jpg
"Acton-Stow Willow Street, 2025-07-24 11-21.jpg",Acton/Stow Willow Street,2025-07-24 11-21,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99144/Acton-Stow Willow Street%2c 2025-07-24 11-21.jpg
"Acton-Stow Willow Street, 2025-07-24 11-22.jpg",Acton/Stow Willow Street,2025-07-24 11-22,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99145/Acton-Stow Willow Street%2c 2025-07-24 11-22.jpg
"Acton-Westford, 2026-07-14 11-16, Where the corner should be (from above).jpg",Acton/Westford,2026-07-14 11-16,Where the corner should be (from above),yes,,monument,,,https://doc.actonma.gov/dsweb/Get/Document-99298/Acton-Westford%2c 2026-07-14 11-16%2c Where the corner should be (from above).jpg
"Acton-Westford, 2026-07-14 11-18, Where the corner should be (from below).jpg",Acton/Westford,2026-07-14 11-18,Where the corner should be (from below),yes,,monument,,,https://doc.actonma.gov/dsweb/Get/Document-99299/Acton-Westford%2c 2026-07-14 11-18%2c Where the corner should be (from below).jpg
"Acton-Westford Bay Drive (East), 2026-07-14 13-38.jpg",Acton/Westford Bay Drive (East),2026-07-14 13-38,,yes,,monument,,,https://doc.actonma.gov/dsweb/Get/Document-99295/Acton-Westford Bay Drive (East)%2c 2026-07-14 13-38.jpg
"Acton-Westford Bay Drive (West), 2026-07-14 13-39.jpg",Acton/Westford Bay Drive (West),2026-07-14 13-39,,yes,,monument,,,https://doc.actonma.gov/dsweb/Get/Document-99296/Acton-Westford Bay Drive (West)%2c 2026-07-14 13-39.jpg
"Acton-Westford Westford Lane, 2026-07-14 11-00.jpg",Acton/Westford Westford Lane,2026-07-14 11-00,,yes,,monument,,,https://doc.actonma.gov/dsweb/Get/Document-99297/Acton-Westford Westford Lane%2c 2026-07-14 11-00.jpg
